Questions,Value,Direction
Health condition,0.1246389222476536,0.006820565608340407
Can't find the way because life has become so complicated?,0.11913533369763352,-0.0042471351077323595
Deprivation index: No. of items hhold can't afford,0.11680773528111639,0.0024671661815274318
How satisfied with education?,0.10907749450217832,-0.0048879955404817635
I feel I am free to decide how to live my life,0.10462707867256854,-0.004175543884179569
I generally feel that what I do in life is worthwhile,0.10160087925410305,-0.0009117729403897947
Household able to make ends meet?,0.08984574040562844,0.0011664961030779227
I am optimistic about the future,0.08710255215159012,0.0034674402573453274
Quality of education system?,0.08521367544349133,0.0007017421421773816
Personal financial situation,0.0689560673792814,-0.00016892674426818394
How much trust the police?,0.06077696138149167,-0.006308862129357802
The value of what I do is not recognised by others?,0.057019444144468856,-0.0028336756169471218
Quality of health services?,0.04371393666566705,0.0011771634153870981
Feel left out of sociey?,0.041406787216791585,-0.0012573103211585004
Quality of child care services?,0.03859714131804288,-0.00541245640517989
I seldom have time to do the things I really enjoy,0.03446624705416031,-0.003469734593258416
Can most people be trusted?,0.03386667169921837,-0.0009775158423377562
Quality of long term care services?,0.033581915168954944,-0.00019333722966756675
Quality of state pension system?,0.031559200788470576,-9.275463593881947e-06
How much trust the legal system?,0.0313872849898486,0.0006236926277765949
Access to recreational or green areas?,0.026426712620037738,0.0002989368509416696
Difficult to see a doctor because of cost?,0.02586029137022991,0.0020129221726596573
Neighbourhood problems - traffic,0.024682321163106646,-0.0008907624768380726
Quality of public transport?,0.024302399742586307,-0.0028052894915794376
Neighbourhood problems - quality of drinking water,0.024043078841634632,-0.0018850907212153867
Neighbourhood problems - air quality,0.023978238813064642,-0.000662096262937855
Marital status,0.023848092975272652,-0.0015483112123897385
Phone/internet contact with other relatives,0.023696019941006802,-0.0004518994319673521
People look down on me because of my job situation or income?,0.022906479385565445,-0.0008370639275722676
Financial situation of your household compared to 12 months ago?,0.022679708759894845,0.0004271652798460852
Quality of social/municipal housing?,0.021500703575536826,-0.00021472315604789173
Phone/internet contact with parents,0.02019920623911796,-0.0010900786117388531
Direct contact with other relatives,0.0196244435648279,-0.0003765784755290814
Neighbourhood problems - litter or rubbish,0.019494958553811614,-0.000400852077882447
How often care for your children?,0.019332307440093087,-0.0016221069094543735
A person to get support from when feeling depressed,0.016620767923723474,-0.0006342878543791775
Neighbourhood problems - noise,0.016086136806564195,-0.0017019062414164528
How much trust the parliament?,0.01525741303209978,0.00019120231331288073
Access to public transport?,0.014866028474129812,-0.0002857062540215238
How much trust the local authorities?,0.014480757892414462,0.0014126460278088315
How many hours per week would you prefer to work at present?,0.013854179874296489,-0.0005029916980944508
