Questions,Value,Direction
Household able to make ends meet?,0.27695256,-0.033740647
I am optimistic about the future,0.23642047,-0.011811375
Can't find the way because life has become so complicated?,0.19555415,-0.0039119115
Health condition,0.1889669,-0.03171357
Personal financial situation,0.17265996,0.0059068464
Quality of health services?,0.10492977,-0.007824143
I generally feel that what I do in life is worthwhile,0.08685893,-0.005455769
Deprivation index: No. of items hhold can't afford,0.08312126,0.0037650599
Marital status,0.08267828,0.003083862
How much tension between Management and Workers?,0.0698956,0.008656281
Quality of long term care services?,0.06953066,-0.0022647467
How many hours per week would you prefer to work at present?,0.065528184,-0.0073857103
Quality of education system?,0.06401863,-0.0025913094
Quality of child care services?,0.055667125,0.009788636
Can most people be trusted?,0.05321097,0.0035429453
Neighbourhood problems - air quality,0.046768982,0.006652635
The value of what I do is not recognised by others?,0.04429154,0.0014759896
Difficult to see a doctor because of waiting time?,0.036642246,0.005774983
Difficult to see a doctor because of cost?,0.03557587,-0.0021676826
How much trust the police?,0.034504432,-0.0046421606
Can afford a meal with meat/chicken/fish every second day?,0.031432226,-0.0023398574
Can afford to have friends or family for a drink/meal at least once a month?,0.031023962,0.0026149645
Quality of state pension system?,0.027463445,8.077919e-05
How much tension between Men and Women?,0.024270618,-0.0028156412
Age,0.024010578,-0.0018819586
"Access to cinema, theatre and cultural centre?",0.02158233,0.00023782522
How frequently take part in sports or exercise?,0.021142365,-0.0012906551
I feel I am free to decide how to live my life,0.02113826,-0.00269717
How much tension between Poor and Rich?,0.020279143,0.0021712156
How often cook and doing housework?,0.019539611,-0.00034720832
Direct contact with neighbours,0.018847935,-0.0044445745
How frequently participate in social activities?,0.018824875,-0.001003769
A person to get support from to raise emergency money,0.018353177,0.0007266748
As much time as would like with others (not family)?,0.018069852,-0.00033813386
Rural/urban living,0.017717797,-0.00021785093
I seldom have time to do the things I really enjoy,0.016711209,-0.00021957268
How much tension between groups with different sexual orientation?,0.016294785,0.00038381285
"Can afford to buy new, rather than second-hand, clothes?",0.0151314,-0.0017235859
Access to recreational or green areas?,0.014849525,0.0026942003
A person to get support from when feeling depressed,0.014554931,-0.0019052165
Quality of public transport?,0.014008653,0.0003517614
Access to banking services?,0.013227409,0.00079769624
As much time as would like on own hobbies/interests?,0.012851279,-0.00039118226
How much trust the legal system?,0.012807705,0.0015755662
Country_Kosovo,0.011608323,0.0026313493
Direct contact with parents,0.011165593,-0.0009115522
Financial situation of your household compared to 12 months ago?,0.010868292,-0.0006122508
Household size,0.010663402,0.0026280074
Country_Czech Republic,0.010659194,-0.0015160174
Likelihood of leaving accom within 6 months,0.010261317,0.0008982416
Phone/internet contact with other relatives,0.010198054,-0.0019608617
Can afford to pay for a week's annual holiday away?,0.0101586245,-0.000966794
Chronic health problems?,0.009412125,0.0014547345
How often care for your children?,0.009225829,0.00060075335
Household structure,0.008950928,0.0012995765
Difficult to see a doctor because of distance?,0.008893221,0.000769998
Quality of social/municipal housing?,0.008564144,0.0017718257
As much time as would like on voluntary work?,0.006950874,0.0004754521
Feel left out of sociey?,0.0069323895,-0.001490295
Neighbourhood problems - noise,0.0064596143,0.0006027432
How much trust the parliament?,0.0063194693,-0.000604781
People look down on me because of my job situation or income?,0.006087162,0.0028506485
No. of children,0.005893614,0.0019834065
"Utility bills, such as electricity, water, gas",0.005835713,0.00041575287
Education completed,0.0055779703,-0.00083500094
Access to public transport?,0.005397179,0.00011855563
How frequently attend religious services?,0.0051730825,0.001191127
Country_Slovenia,0.004968035,0.00012132289
Can afford to keep home adequately warm?,0.0049130027,0.00047525435
How much trust the press?,0.004716477,-0.0010701441
Country_Romania,0.0045808163,-0.0013560711
Country_Poland,0.00448172,-0.0011895226
Phone/internet contact with parents,0.004446868,0.0007207012
How frequently use the Internet other than for work?,0.0043864744,0.0015469654
I or someone else in household used child care in 12 months,0.0043560667,0.0008680959
Phone/internet contact with neighbours,0.0042969463,-0.0009175655
Household financial expectations for th 12 months?,0.0038545623,0.00021244968
How much trust the local authorities?,0.0037974769,0.00040312935
Country_Hungary,0.0036811032,0.00041533663
Problems with accommodation - space,0.0034318166,-7.673894e-05
"Neighbourhood problems - crime, violence or vandalism",0.003339176,0.00026406292
Phone/internet contact with children,0.0032851964,0.0004945735
Payments for informal loans from friends/relatives,0.003198065,-0.000119459466
Direct contact with other relatives,0.0031238382,-0.0005501105
The share of housework you do is?,0.003111546,0.0002353228
Employment - 7 groups,0.0030008946,0.00037917192
Neighbourhood problems - traffic,0.0029679732,0.00024414615
Direct contact with children,0.0029543564,0.000108561384
How much tension between different racial/ethnic groups?,0.0029531908,0.0002107821
Country_UK,0.002920143,-0.001507002
How much tension between different religious groups?,0.0028877743,-0.00036873555
Feel close to people in the area where I live,0.002513009,-0.00016968278
Household size - over 18,0.0024796468,0.0006970644
Problems with accommodation - no toilet,0.0024475064,0.0001244696
Volunteering frequency,0.0024139562,0.00029665718
A person to get support from when looking for a job,0.0021344922,-9.636426e-05
How often care for elderly or disabled relatives?,0.0021045143,0.0009116894
Country_Montenegro,0.0021035234,-0.0007572404
Access to postal services?,0.0019457245,0.00031165453
Rent/mortgage payments for accommodation,0.0019093129,-0.00025158457
No. of problems with accommodation,0.0017876467,9.6158175e-05
Gender,0.0017831147,-0.00022196281
No. of rooms in accommodation,0.0015931166,-0.0001376501
As much time as would like with family members?,0.0014185054,0.00028208853
Country_Slovakia,0.0012742749,-5.1880725e-05
Tenure,0.0012354128,4.54053e-05
How much trust the government?,0.0011876125,0.0005547143
A person to get advice from about a personal/family matter,0.0010386726,0.0003212756
Difficult to see a doctor because of delay in getting appointment?,0.00076549716,-1.5065063e-05
Neighbourhood problems - quality of drinking water,0.0007467289,0.00022324095
Neighbourhood problems - litter or rubbish,0.00064317865,2.4847819e-05
Country_Turkey,0.0005038687,-0.0003592067
A person to get support from to help around house ,0.0,0.0
Country group,0.0,0.0
Citizenship - Country,0.0,0.0
Citizenship - Another EU member,0.0,0.0
Citizenship - A non-EU country,0.0,0.0
Education - 3 groups,0.0,0.0
Income quartiles,0.0,0.0
DV: Rural/urban living,0.0,0.0
Nobody used long term care in 12 months,0.0,0.0
How much tension between Old and Young people?,0.0,0.0
Problems with accommodation - no bath/shower,0.0,0.0
Problems with accommodation - no outside space,0.0,0.0
Problems with accommodation - rot in windows etc.,0.0,0.0
Problems with accommodation - damp or leaks,0.0,0.0
Difficult to see a doctor because of lack of time?,0.0,0.0
Nobody used child care in 12 months,0.0,0.0
Someone close outside household used long term care in 12 months,0.0,0.0
I or someone else in household used long term care in 12 months,0.0,0.0
Child care used in 12 months - refusal,0.0,0.0
Child care used in 12 months - don't know,0.0,0.0
Long term care used in 12 months - refusal,0.0,0.0
Long term care used in 12 months - don't know,0.0,0.0
Someone close outside household used child care in 12 months,0.0,0.0
Can afford to replace any worn-out furniture?,0.0,0.0
Country_Belgium,0.0,0.0
Payments for consumer loans/credit cards,0.0,0.0
Country_France,0.0,0.0
Country_Bulgaria,0.0,0.0
Country_Denmark,0.0,0.0
Country_Estonia,0.0,0.0
Country_Croatia,0.0,0.0
Country_Cyprus,0.0,0.0
Country_Latvia,0.0,0.0
Country_Italy,0.0,0.0
Country_Ireland,0.0,0.0
Country_Iceland,0.0,0.0
Country_Germany,0.0,0.0
Country_Greece,0.0,0.0
Country_Finland,0.0,0.0
Country_Lithuania,0.0,0.0
Country_Portugal,0.0,0.0
Country_Netherlands,0.0,0.0
Country_Macedonia (FYROM),0.0,0.0
Country_Malta,0.0,0.0
Country_Luxembourg,0.0,0.0
Country_Serbia,0.0,0.0
Country_Sweden,0.0,0.0
Country_Spain,0.0,0.0
