Questions,Value,Direction
Health condition,0.18691708,-0.0147297
Quality of education system?,0.11678851,-0.0047481116
I generally feel that what I do in life is worthwhile,0.10881496,0.0116020385
Can't find the way because life has become so complicated?,0.094682224,0.002453975
I feel I am free to decide how to live my life,0.07152151,0.0029258027
Neighbourhood problems - litter or rubbish,0.055093404,0.003704151
I seldom have time to do the things I really enjoy,0.05284212,0.00114583
Access to recreational or green areas?,0.049460072,-0.0016721592
I am optimistic about the future,0.048827842,0.0030889967
Rural/urban living,0.04397623,0.000961791
Quality of child care services?,0.0426151,0.004749376
How much trust the police?,0.036906004,0.00033678988
Can afford to pay for a week's annual holiday away?,0.03111958,-0.0018538908
How much trust the parliament?,0.028610565,0.0017331963
Can most people be trusted?,0.028213747,0.0023041382
Direct contact with neighbours,0.027012292,0.00055164844
The value of what I do is not recognised by others?,0.02630225,-6.148696e-05
How much trust the legal system?,0.025793709,0.0035337668
People look down on me because of my job situation or income?,0.025513524,-0.0025437763
Marital status,0.02504046,0.0011031103
Household structure,0.023127474,-0.0002721327
No. of problems with accommodation,0.021692663,0.0009344102
How much trust the local authorities?,0.019862916,-0.0008075523
Personal financial situation,0.018136824,0.0014682759
Difficult to see a doctor because of lack of time?,0.018066652,0.00040956007
How frequently participate in social activities?,0.01805364,-0.0011960625
Quality of public transport?,0.017672757,-0.00039737468
Quality of health services?,0.017325709,0.0019525792
Long term care used in 12 months - don't know,0.016754711,-0.007765069
Feel left out of sociey?,0.015698584,0.0016176843
Phone/internet contact with other relatives,0.015038077,0.00026345806
Country_Portugal,0.014592621,-0.0015655489
Quality of state pension system?,0.014304534,0.0006505009
Neighbourhood problems - traffic,0.013739148,0.00189725
How much trust the government?,0.013140339,-0.0012240438
Deprivation index: No. of items hhold can't afford,0.012415515,0.0070460006
As much time as would like on own hobbies/interests?,0.011222032,-0.00030851748
Age,0.010839042,0.0017227954
As much time as would like with family members?,0.010701571,-0.0008478332
Access to banking services?,0.010453465,0.0007905422
Access to postal services?,0.00915992,0.00017650539
Household able to make ends meet?,0.008982331,0.0025755116
No. of children,0.007592711,0.0013794057
Volunteering frequency,0.0068243854,0.00030671572
"Access to cinema, theatre and cultural centre?",0.0066770585,-0.0005656165
Quality of social/municipal housing?,0.0060418667,0.0008582492
How many hours per week would you prefer to work at present?,0.0058956146,-0.00027071327
"Can afford to buy new, rather than second-hand, clothes?",0.0056097577,0.0021188762
Gender,0.005542511,-0.00016506932
Education completed,0.0054954495,0.00033220256
Difficult to see a doctor because of cost?,0.0051820404,-0.00041788886
How much trust the press?,0.0051060393,0.00061610213
Phone/internet contact with neighbours,0.0049818885,-0.001348325
How often care for elderly or disabled relatives?,0.004827253,-0.00071071164
How frequently use the Internet other than for work?,0.004820394,0.00019597502
Neighbourhood problems - quality of drinking water,0.0044883694,-4.9019905e-05
"Utility bills, such as electricity, water, gas",0.0044671474,-1.217017e-05
Neighbourhood problems - air quality,0.004458679,0.0005529082
How frequently attend religious services?,0.0041133943,-0.001144302
Direct contact with other relatives,0.0039963154,0.00015941511
Quality of long term care services?,0.0038254564,0.00023648227
Country_Cyprus,0.003765694,-0.00021085577
Feel close to people in the area where I live,0.0037282112,0.0008688913
Country_Italy,0.003693899,-0.00040731806
How much tension between different racial/ethnic groups?,0.0035445846,8.8328095e-05
Citizenship - Country,0.0034950045,-4.0962987e-05
Country_Latvia,0.0033240742,-8.618862e-05
Nobody used child care in 12 months,0.0032711902,0.00028919883
Can afford to replace any worn-out furniture?,0.0032550048,-0.0006880715
The share of housework you do is?,0.0031621829,4.5860656e-05
How often care for your children?,0.0029522895,-0.000806201
Difficult to see a doctor because of delay in getting appointment?,0.0029380866,0.0001755525
A person to get advice from about a personal/family matter,0.0029223321,0.0003717399
Neighbourhood problems - noise,0.002807462,0.0006357833
A person to get support from when feeling depressed,0.0026520991,-0.00033346968
I or someone else in household used long term care in 12 months,0.0026161564,-0.0005465847
A person to get support from to help around house ,0.0025939615,0.00013015747
Country_Kosovo,0.0024595482,0.00026940342
