Questions,Value,Direction
I generally feel that what I do in life is worthwhile,0.15275337,-0.0075007635
Health condition,0.11506555,-0.0029029679
Household able to make ends meet?,0.0934981,-0.014820952
I feel I am free to decide how to live my life,0.08298856,0.0037711344
I am optimistic about the future,0.07227423,-0.01071513
How often care for your children?,0.07108585,0.0047917995
Feel left out of sociey?,0.0668187,-0.004570769
Can't find the way because life has become so complicated?,0.06619454,0.0042607263
Quality of health services?,0.04994408,0.000729123
Financial situation of your household compared to 12 months ago?,0.048210457,0.0014401062
Neighbourhood problems - traffic,0.04775805,-0.01103256
Long term care used in 12 months - don't know,0.04442948,-0.010140715
I seldom have time to do the things I really enjoy,0.041376185,-0.004832549
Quality of education system?,0.041358653,-0.012426539
Neighbourhood problems - quality of drinking water,0.037796017,-0.0027850263
Can most people be trusted?,0.035170782,-0.0005648848
Quality of public transport?,0.03386377,0.0005158874
Difficult to see a doctor because of cost?,0.03353525,0.0011716858
Direct contact with other relatives,0.030767258,0.00809809
Household structure,0.029993333,0.0018374397
Access to recreational or green areas?,0.029599443,-0.003014417
How much trust the police?,0.027873227,-0.002808898
Quality of child care services?,0.027442968,-0.0011834966
Country_Kosovo,0.026306894,-0.0020970325
The value of what I do is not recognised by others?,0.025547795,0.000970877
Marital status,0.023356654,-0.0004753725
Neighbourhood problems - air quality,0.021526676,-0.0034390716
"Utility bills, such as electricity, water, gas",0.020316606,0.0006882739
Employment - 7 groups,0.020077096,0.0012713191
How much trust the local authorities?,0.01857665,0.0051781414
Quality of long term care services?,0.016731506,-0.0028435043
Phone/internet contact with other relatives,0.01638002,0.0008564576
Payments for informal loans from friends/relatives,0.01565762,0.0030090862
Quality of social/municipal housing?,0.01538698,0.00060131034
Personal financial situation,0.015023717,0.0017003634
Problems with accommodation - damp or leaks,0.014238973,0.0012006465
Payments for consumer loans/credit cards,0.014039457,0.0069549074
How frequently use the Internet other than for work?,0.013746925,0.0009836816
Deprivation index: No. of items hhold can't afford,0.012677015,-0.00090476667
How many hours per week would you prefer to work at present?,0.012424134,0.0013938167
People look down on me because of my job situation or income?,0.0123771485,-0.0011942296
Quality of state pension system?,0.01222614,0.0016708707
How much trust the press?,0.0121,-0.001623918
Household size - over 18,0.011992893,0.00061630947
Country_Poland,0.011960522,-0.0028403571
Household financial expectations for th 12 months?,0.01043245,-0.00087458064
As much time as would like on own hobbies/interests?,0.010261153,0.0011853694
No. of problems with accommodation,0.0101768505,-0.0006042602
No. of rooms in accommodation,0.00996074,-0.0025751444
How much trust the parliament?,0.009067886,0.00049086416
How often care for elderly or disabled relatives?,0.0071337093,-0.00025467193
Neighbourhood problems - litter or rubbish,0.007082658,-0.0015022658
How much tension between Old and Young people?,0.006684451,-0.0003664969
How much trust the legal system?,0.0063538067,0.0028097068
Country_Montenegro,0.0062166806,0.00045983915
Problems with accommodation - rot in windows etc.,0.0061956267,0.00012249227
Someone close outside household used child care in 12 months,0.0059974478,-0.00044926384
Direct contact with children,0.0059614535,0.0006234574
A person to get support from when looking for a job,0.0056582857,0.0015275278
I or someone else in household used child care in 12 months,0.0056206263,0.0006521721
Country_Turkey,0.005593542,-0.002293652
"Can afford to buy new, rather than second-hand, clothes?",0.00543323,0.0011008026
Phone/internet contact with neighbours,0.004705038,2.8309762e-05
Country_Greece,0.004586411,0.00026465824
Feel close to people in the area where I live,0.0044566793,0.0002522943
A person to get support from to raise emergency money,0.0041803354,-0.0006489224
How much tension between Poor and Rich?,0.0041764025,0.0018942838
Access to banking services?,0.004150724,0.003993435
As much time as would like with others (not family)?,0.0036380321,0.0004745539
As much time as would like on voluntary work?,0.0035194822,7.101385e-05
Access to postal services?,0.0034661237,-0.0006203483
Access to public transport?,0.0034220566,0.00035857223
How often cook and doing housework?,0.0034160404,0.0002642444
Difficult to see a doctor because of lack of time?,0.0033970622,9.84265e-05
Income quartiles,0.0033325288,3.0446448e-05
Neighbourhood problems - noise,0.0032035776,0.00012030924
Household size,0.003181415,0.0022453626
How much trust the government?,0.0031293712,-0.0011371707
A person to get advice from about a personal/family matter,0.003017453,0.00012684571
Problems with accommodation - no bath/shower,0.0030026522,-0.0013901433
Problems with accommodation - no outside space,0.0029489598,-8.417871e-05
Can afford to keep home adequately warm?,0.002906367,-0.001249175
The share of housework you do is?,0.0028531197,0.00051086966
How frequently take part in sports or exercise?,0.0027859162,-0.00012858446
Education completed,0.0026054564,-0.0011372754
Nobody used child care in 12 months,0.0025814152,-0.0006210172
How much tension between different religious groups?,0.0022655171,-0.0010056202
A person to get support from to help around house ,0.0022321125,-0.00070668926
Can afford a meal with meat/chicken/fish every second day?,0.0021535067,-0.00021926363
Difficult to see a doctor because of waiting time?,0.0020323053,7.7067416e-05
Volunteering frequency,0.002029562,-0.00012904935
How much tension between groups with different sexual orientation?,0.0019857811,0.0010529178
Someone close outside household used long term care in 12 months,0.0019695584,-0.00069213746
No. of children,0.0019676322,0.000418858
Can afford to pay for a week's annual holiday away?,0.0019596328,-0.0005308914
How much tension between different racial/ethnic groups?,0.0018743423,0.00054062175
Direct contact with neighbours,0.0018591762,0.0007270481
Country_France,0.0018527755,0.00069676334
"Access to cinema, theatre and cultural centre?",0.0018349217,0.0005980291
How much tension between Men and Women?,0.0016651251,0.00016903134
Country_Italy,0.0015818857,0.0006404013
As much time as would like with family members?,0.0015687172,-0.0002832288
Rent/mortgage payments for accommodation,0.0014198121,0.00068751647
